,cluster_id,cluster_name,cluster_isactive,store_id,store_code,store_description,store_lat,store_long
285,164,Hartbeespoort (NW),True,506,9465,Checkers LiquorShop Hartbeespoort,-25.7304,27.88614
286,109,Linksfield (G),True,507,9471,Checkers CX Neighbourhood Liquor,-26.1490688,28.1226883
287,152,Newcastle (KZN),True,508,8205,Checkers LiquorShop Newcastle,-27.7589,29.9321
288,178,Knysna (WC),True,511,4897,Checkers Knysna,-34.03694,23.0470066
289,178,Knysna (WC),True,512,5138,Checkers LiquorShop Knysna,-34.03694,23.0470066
290,185,Oudtshoorn (WC),True,513,205,Checkers Oudtshoorn,-33.59197,22.20405
291,185,Oudtshoorn (WC),True,514,6325,Checkers LiquorShop Oudtshoorn,-33.5916977,22.2039642
292,180,Kroonstad (FS),True,515,90,Checkers Kroonstad,-27.6482449,27.2297115
293,180,Kroonstad (FS),True,516,8308,Checkers LiquorShop Kroonstad,-27.648819,27.23114
294,170,Klerksdorp (NW),True,517,230,Checkers Hyper Klerksdorp,-26.87571,26.6660213
295,170,Klerksdorp (NW),True,518,5215,Checkers LiquorShop Klerksdorp,-26.87571,26.6660213
296,182,Montana Park (G),True,519,30,Checkers Hyper Montana,-25.6810265,28.2507687
297,173,Klipfontein (MP),True,520,172,Checkers Hyper Klipfontein,-25.8969212,29.2345638
298,173,Klipfontein (MP),True,521,5493,Checkers LiquorShop Klipfontein ,-25.89864,29.2343349
299,184,Rustenburg (NW),True,522,5053,Checkers Hyper Rustenburg,-25.7019539,27.25378
300,184,Rustenburg (NW),True,523,3816,Checkers LiquorShop Rustenburg,-25.7037926,27.2497349
301,175,Stanger (KZN),True,524,5896,Checkers Kwadukuza,-29.3420677,31.2857876
302,175,Stanger (KZN),True,525,6052,Checkers LiquorShop Kwadukuza,-29.3389988,31.2893867
303,183,Shelley Beach (KZN),True,526,4269,Checkers Shelley Beach,-30.7961483,30.4058189
304,183,Shelley Beach (KZN),True,527,3428,Checkers LiquorShop Shelley Beach,-30.8069744,30.4095936
305,171,Parow (WC),True,528,644,Checkers Hyper Parow,-33.9060745,18.59907
306,171,Parow (WC),True,529,4250,Checkers LiquorShop Parow,-33.90454,18.5987072
307,172,Brackenhurst (G),True,530,5811,Checkers Bracken Gardens,-26.3266678,28.098381
308,177,Suideroord (G),True,531,4829,Checkers Columbine Square,-26.2723579,28.0286179
309,181,Fauna Park (L),True,532,6459,Checkers Savannah Mall,-23.903511,29.4883518
310,181,Fauna Park (L),True,533,9237,Checkers LiquorShop Savannah Mall,-23.909132,29.45544
311,57,Sandton (G),True,534,287,AVO - Nandos Sandton City,-26.10944,28.05306
312,57,Sandton (G),True,535,284,AVO - RocoMamas Nelson Mandela Square,-26.1075268,28.0554314
313,57,Sandton (G),True,536,366,AVO - The Hide,-26.1231365,28.0469742
314,57,Sandton (G),True,537,208,AVO - Sticky Waffle Sandton City,-26.10859,28.0520782
315,57,Sandton (G),True,538,286,AVO - San Antonio Spur,-26.10929,28.0540123
316,4,Kyalami (G),True,539,117,AVO - Piza E Vino Kyalami,-25.98354,28.0752468
317,4,Kyalami (G),True,540,428,AVO - Norman Goodfellows Kyalami,-25.9847717,28.0750942
318,44,Mall of Africa (G),True,541,2,AVO - Mantra Waterfall,-26.020525,28.0901546
319,57,Sandton (G),True,542,213,AVO - Hard Rock Cafe Nelson Mandela Square,-26.1079788,28.054903
320,57,Sandton (G),True,543,140,AVO - Doppio Zero,-26.1093235,28.0530052
321,44,Mall of Africa (G),True,544,311,AVO - Col cacchio Waterfall Corner,-26.0219631,28.0896912
322,44,Mall of Africa (G),True,545,501,AVO - Burger King Mall of Africa,-26.0153828,28.1064835
323,4,Kyalami (G),True,546,502,AVO - Burger King Kyalami,-25.9851971,28.07649
324,57,Sandton (G),True,547,499,AVO - Burger King Rivonia,-26.11536,28.04921
325,44,Mall of Africa (G),True,548,331,AVO - Aurelies,-26.0219479,28.0905552
326,5,Melrose (G),True,549,265,AVO - Debonairs Sandton City,-26.1087418,28.0526352
327,57,Sandton (G),True,550,264,AVO - Anat Falafel & Scharwma,-26.1175137,28.03861
328,57,Sandton (G),True,551,263,AVO - Adegas Express Sandton City,-26.108757,28.0523586
329,98,Rivonia (G),True,552,KSA372,KFC - WOODMEAD,-26.0534,28.0908
330,4,Kyalami (G),True,555,275,AVO - The Rock Kyalami,-25.9817047,28.0762634
331,37,Sunninghill (G),True,556,KSA704,KFC - SUNNINGHILL,-26.026,28.0669
332,1,Durbanville (WC),True,558,KSA288,KFC - DURBANVILLE,-33.8303,18.6495
333,13,Bryanston (G),True,559,KSA743,KFC - BRYANSTON,-26.0776,28.0105
334,68,Olympus Village (G),True,560,KSA512,KFC - HAZELDEAN,-25.7857,28.3532
335,58,Atterbury (G),True,561,KSA887,KFC - ATTERBURY ROAD,-25.7832,28.3002
336,73,Wingtip (G),True,562,KSA1183,KFC - DOORNPOORT,-25.6487961,28.2378883
337,74,Eastgate (G),True,563,KSA047,KFC - KENSINGTON],-26.1896248,28.1087666
338,74,Eastgate (G),True,564,KSA408,KFC - BEDFORD CENTRE,-26.1891,28.124
339,73,Wingtip (G),True,565,KSA108,KFC - MONTANA PARK,-25.6802,28.2483
340,74,Eastgate (G),True,566,KSA050,KFC - MALVERN,-26.2017,28.1138
341,5,Melrose (G),True,567,KSA447,KFC - ALEXANDRA,-26.1079,28.0861
342,36,Okavango (WC),True,568,KSA1065,KFC - PINEHURST SHOPPING CENTRE,-33.8334,18.6845
343,9,Stellenbosch (WC),True,569,KSA1122,KFC - SIMONSRUST,-33.9263,18.8776
344,145,Vincent (EC),True,570,KSA1324,KFC - Cambridge,-32.9751549,27.8929138
345,145,Vincent (EC),True,571,KSA735,KFC - HEMINGWAYS MALL,-32.9709,27.8993
346,67,Cresta (G),True,572,KSA1299,KFC - Cresta Mall,-26.1308765,27.9767971
347,104,De Grendel (WC),True,573,KSA1064,KFC - KILLARNEY SHELL,-33.8543,18.5164
348,43,Leaping Frog (G),True,574,KSA405,KFC - BROADACRES,-26.0015,27.9848
